Year,Units,Series,type of area,federal state,GeoCode,Value
2018,hectre per day,calculated annual values,,bavaria,code09,11.0
2019,hectre per day,calculated annual values,,bavaria,code09,11.0
2020,hectre per day,calculated annual values,,bavaria,code09,11.0
2021,hectre per day,calculated annual values,,bavaria,code09,11.0
1996,hectre per day,calculated annual values,,berlin,code11,-1.0
2000,hectre per day,calculated annual values,,berlin,code11,1.0
2004,hectre per day,calculated annual values,,berlin,code11,0.0
2005,hectre per day,calculated annual values,,berlin,code11,0.0
2006,hectre per day,calculated annual values,,berlin,code11,0.0
2007,hectre per day,calculated annual values,,berlin,code11,0.0
2008,hectre per day,calculated annual values,,berlin,code11,0.0
2009,hectre per day,calculated annual values,,berlin,code11,0.0
2010,hectre per day,calculated annual values,,berlin,code11,0.0
2011,hectre per day,calculated annual values,,berlin,code11,0.0
2012,hectre per day,calculated annual values,,berlin,code11,0.0
2013,hectre per day,calculated annual values,,berlin,code11,0.0
2014,hectre per day,calculated annual values,,berlin,code11,0.0
2015,hectre per day,calculated annual values,,berlin,code11,0.0
2016,hectre per day,calculated annual values,,berlin,code11,0.0
2017,hectre per day,calculated annual values,,berlin,code11,0.0
2018,hectre per day,calculated annual values,,berlin,code11,0.0
2019,hectre per day,calculated annual values,,berlin,code11,0.0
2020,hectre per day,calculated annual values,,berlin,code11,0.0
2021,hectre per day,calculated annual values,,berlin,code11,0.0
2022,hectre per day,calculated annual values,,berlin,code11,0.0
1996,hectre per day,calculated annual values,,brandenburg,code12,7.0
2000,hectre per day,calculated annual values,,brandenburg,code12,9.0
2004,hectre per day,calculated annual values,,brandenburg,code12,8.0
2005,hectre per day,calculated annual values,,brandenburg,code12,9.0
2006,hectre per day,calculated annual values,,brandenburg,code12,9.0
2007,hectre per day,calculated annual values,,brandenburg,code12,8.0
2008,hectre per day,calculated annual values,,brandenburg,code12,10.0
2009,hectre per day,calculated annual values,,brandenburg,code12,8.0
2010,hectre per day,calculated annual values,,brandenburg,code12,8.0
2011,hectre per day,calculated annual values,,brandenburg,code12,7.0
2012,hectre per day,calculated annual values,,brandenburg,code12,5.0
2013,hectre per day,calculated annual values,,brandenburg,code12,6.0
2014,hectre per day,calculated annual values,,brandenburg,code12,5.0
2015,hectre per day,calculated annual values,,brandenburg,code12,5.0
2016,hectre per day,calculated annual values,,brandenburg,code12,5.0
2017,hectre per day,calculated annual values,,brandenburg,code12,2.0
2018,hectre per day,calculated annual values,,brandenburg,code12,2.0
2019,hectre per day,calculated annual values,,brandenburg,code12,1.0
2020,hectre per day,calculated annual values,,brandenburg,code12,3.0
2021,hectre per day,calculated annual values,,brandenburg,code12,4.0
2022,hectre per day,calculated annual values,,brandenburg,code12,5.0
1996,hectre per day,calculated annual values,,bremen,code04,0.0
2000,hectre per day,calculated annual values,,bremen,code04,1.0
2004,hectre per day,calculated annual values,,bremen,code04,0.0
2005,hectre per day,calculated annual values,,bremen,code04,0.0
2006,hectre per day,calculated annual values,,bremen,code04,0.0
2007,hectre per day,calculated annual values,,bremen,code04,0.0
2008,hectre per day,calculated annual values,,bremen,code04,0.0
2009,hectre per day,calculated annual values,,bremen,code04,0.0
2010,hectre per day,calculated annual values,,bremen,code04,0.0
2011,hectre per day,calculated annual values,,bremen,code04,0.0
2012,hectre per day,calculated annual values,,bremen,code04,0.0
2013,hectre per day,calculated annual values,,bremen,code04,0.0
2014,hectre per day,calculated annual values,,bremen,code04,0.0
2015,hectre per day,calculated annual values,,bremen,code04,0.0
2016,hectre per day,calculated annual values,,bremen,code04,0.0
2017,hectre per day,calculated annual values,,bremen,code04,0.0
2018,hectre per day,calculated annual values,,bremen,code04,0.0
2019,hectre per day,calculated annual values,,bremen,code04,0.0
2020,hectre per day,calculated annual values,,bremen,code04,0.0
2021,hectre per day,calculated annual values,,bremen,code04,0.0
2022,hectre per day,calculated annual values,,bremen,code04,0.0
1996,hectre per day,calculated annual values,,hamburg,code02,0.0
2000,hectre per day,calculated annual values,,hamburg,code02,0.0
2004,hectre per day,calculated annual values,,hamburg,code02,1.0
2005,hectre per day,calculated annual values,,hamburg,code02,1.0
2006,hectre per day,calculated annual values,,hamburg,code02,1.0
2007,hectre per day,calculated annual values,,hamburg,code02,1.0
2008,hectre per day,calculated annual values,,hamburg,code02,1.0
2009,hectre per day,calculated annual values,,hamburg,code02,0.0
2010,hectre per day,calculated annual values,,hamburg,code02,0.0
2011,hectre per day,calculated annual values,,hamburg,code02,0.0
2012,hectre per day,calculated annual values,,hamburg,code02,0.0
2013,hectre per day,calculated annual values,,hamburg,code02,0.0
2014,hectre per day,calculated annual values,,hamburg,code02,0.0
2015,hectre per day,calculated annual values,,hamburg,code02,0.0
2016,hectre per day,calculated annual values,,hamburg,code02,-1.0
2017,hectre per day,calculated annual values,,hamburg,code02,-1.0
2018,hectre per day,calculated annual values,,hamburg,code02,0.0
2019,hectre per day,calculated annual values,,hamburg,code02,0.0
2020,hectre per day,calculated annual values,,hamburg,code02,0.0
2021,hectre per day,calculated annual values,,hamburg,code02,0.0
2022,hectre per day,calculated annual values,,hamburg,code02,0.0
1996,hectre per day,calculated annual values,,hesse,code06,5.0
2000,hectre per day,calculated annual values,,hesse,code06,5.0
2004,hectre per day,calculated annual values,,hesse,code06,4.0
2005,hectre per day,calculated annual values,,hesse,code06,4.0
2006,hectre per day,calculated annual values,,hesse,code06,4.0
2007,hectre per day,calculated annual values,,hesse,code06,4.0
2008,hectre per day,calculated annual values,,hesse,code06,4.0
2009,hectre per day,calculated annual values,,hesse,code06,4.0
2010,hectre per day,calculated annual values,,hesse,code06,4.0
2011,hectre per day,calculated annual values,,hesse,code06,3.0
2012,hectre per day,calculated annual values,,hesse,code06,3.0
2013,hectre per day,calculated annual values,,hesse,code06,3.0
2014,hectre per day,calculated annual values,,hesse,code06,3.0
2015,hectre per day,calculated annual values,,hesse,code06,3.0
2021,hectre per day,calculated annual values,,hesse,code06,2.0
1996,hectre per day,calculated annual values,,mecklenburg western pomerania,code13,6.0
2000,hectre per day,calculated annual values,,mecklenburg western pomerania,code13,8.0
2004,hectre per day,calculated annual values,,mecklenburg western pomerania,code13,9.0
2005,hectre per day,calculated annual values,,mecklenburg western pomerania,code13,9.0
2006,hectre per day,calculated annual values,,mecklenburg western pomerania,code13,8.0
2007,hectre per day,calculated annual values,,mecklenburg western pomerania,code13,7.0
2008,hectre per day,calculated annual values,,mecklenburg western pomerania,code13,8.0
2009,hectre per day,calculated annual values,,mecklenburg western pomerania,code13,8.0
2010,hectre per day,calculated annual values,,mecklenburg western pomerania,code13,8.0
2011,hectre per day,calculated annual values,,mecklenburg western pomerania,code13,7.0
2012,hectre per day,calculated annual values,,mecklenburg western pomerania,code13,5.0
2013,hectre per day,calculated annual values,,mecklenburg western pomerania,code13,4.0
2014,hectre per day,calculated annual values,,mecklenburg western pomerania,code13,3.0
2015,hectre per day,calculated annual values,,mecklenburg western pomerania,code13,3.0
2016,hectre per day,calculated annual values,,mecklenburg western pomerania,code13,7.0
2017,hectre per day,calculated annual values,,mecklenburg western pomerania,code13,4.0
2018,hectre per day,calculated annual values,,mecklenburg western pomerania,code13,4.0
2019,hectre per day,calculated annual values,,mecklenburg western pomerania,code13,3.0
2020,hectre per day,calculated annual values,,mecklenburg western pomerania,code13,-2.0
2021,hectre per day,calculated annual values,,mecklenburg western pomerania,code13,1.0
2022,hectre per day,calculated annual values,,mecklenburg western pomerania,code13,1.0
1996,hectre per day,calculated annual values,,lower saxony,code03,16.0
2000,hectre per day,calculated annual values,,lower saxony,code03,16.0
2004,hectre per day,calculated annual values,,lower saxony,code03,14.0
2005,hectre per day,calculated annual values,,lower saxony,code03,14.0
2006,hectre per day,calculated annual values,,lower saxony,code03,14.0
2007,hectre per day,calculated annual values,,lower saxony,code03,14.0
2008,hectre per day,calculated annual values,,lower saxony,code03,12.0
2009,hectre per day,calculated annual values,,lower saxony,code03,10.0
2010,hectre per day,calculated annual values,,lower saxony,code03,9.0
2011,hectre per day,calculated annual values,,lower saxony,code03,11.0
2012,hectre per day,calculated annual values,,lower saxony,code03,10.0
2013,hectre per day,calculated annual values,,lower saxony,code03,11.0
2014,hectre per day,calculated annual values,,lower saxony,code03,11.0
2015,hectre per day,calculated annual values,,lower saxony,code03,10.0
2016,hectre per day,calculated annual values,,lower saxony,code03,8.0
2017,hectre per day,calculated annual values,,lower saxony,code03,7.0
2018,hectre per day,calculated annual values,,lower saxony,code03,6.0
2019,hectre per day,calculated annual values,,lower saxony,code03,5.0
2020,hectre per day,calculated annual values,,lower saxony,code03,7.0
2021,hectre per day,calculated annual values,,lower saxony,code03,6.0
2022,hectre per day,calculated annual values,,lower saxony,code03,6.0
1996,hectre per day,calculated annual values,,north rhine-westphalia,code05,16.0
2000,hectre per day,calculated annual values,,north rhine-westphalia,code05,17.0
2004,hectre per day,calculated annual values,,north rhine-westphalia,code05,15.0
2005,hectre per day,calculated annual values,,north rhine-westphalia,code05,15.0
2006,hectre per day,calculated annual values,,north rhine-westphalia,code05,14.0
2007,hectre per day,calculated annual values,,north rhine-westphalia,code05,15.0
2008,hectre per day,calculated annual values,,north rhine-westphalia,code05,14.0
2009,hectre per day,calculated annual values,,north rhine-westphalia,code05,13.0
2010,hectre per day,calculated annual values,,north rhine-westphalia,code05,13.0
2011,hectre per day,calculated annual values,,north rhine-westphalia,code05,11.0
2012,hectre per day,calculated annual values,,north rhine-westphalia,code05,10.0
2013,hectre per day,calculated annual values,,north rhine-westphalia,code05,10.0
2014,hectre per day,calculated annual values,,north rhine-westphalia,code05,10.0
2015,hectre per day,calculated annual values,,north rhine-westphalia,code05,10.0
2021,hectre per day,calculated annual values,,north rhine-westphalia,code05,6.0
2022,hectre per day,calculated annual values,,north rhine-westphalia,code05,6.0
1996,hectre per day,calculated annual values,,rhineland palatinate,code07,5.0
2000,hectre per day,calculated annual values,,rhineland palatinate,code07,5.0
2004,hectre per day,calculated annual values,,rhineland palatinate,code07,6.0
2005,hectre per day,calculated annual values,,rhineland palatinate,code07,7.0
2006,hectre per day,calculated annual values,,rhineland palatinate,code07,7.0
2007,hectre per day,calculated annual values,,rhineland palatinate,code07,7.0
2008,hectre per day,calculated annual values,,rhineland palatinate,code07,5.0
2009,hectre per day,calculated annual values,,rhineland palatinate,code07,4.0
2010,hectre per day,calculated annual values,,rhineland palatinate,code07,2.0
2011,hectre per day,calculated annual values,,rhineland palatinate,code07,1.0
2012,hectre per day,calculated annual values,,rhineland palatinate,code07,1.0
2013,hectre per day,calculated annual values,,rhineland palatinate,code07,1.0
2014,hectre per day,calculated annual values,,rhineland palatinate,code07,1.0
2015,hectre per day,calculated annual values,,rhineland palatinate,code07,1.0
2016,hectre per day,calculated annual values,,rhineland palatinate,code07,1.0
2017,hectre per day,calculated annual values,,rhineland palatinate,code07,0.0
2018,hectre per day,calculated annual values,,rhineland palatinate,code07,1.0
2019,hectre per day,calculated annual values,,rhineland palatinate,code07,1.0
2020,hectre per day,calculated annual values,,rhineland palatinate,code07,2.0
2021,hectre per day,calculated annual values,,rhineland palatinate,code07,4.0
2022,hectre per day,calculated annual values,,rhineland palatinate,code07,6.0
1996,hectre per day,calculated annual values,,saarland,code10,1.0
2000,hectre per day,calculated annual values,,saarland,code10,1.0
2004,hectre per day,calculated annual values,,saarland,code10,1.0
2005,hectre per day,calculated annual values,,saarland,code10,1.0
2006,hectre per day,calculated annual values,,saarland,code10,1.0
2007,hectre per day,calculated annual values,,saarland,code10,1.0
2008,hectre per day,calculated annual values,,saarland,code10,1.0
2009,hectre per day,calculated annual values,,saarland,code10,1.0
2010,hectre per day,calculated annual values,,saarland,code10,1.0
2011,hectre per day,calculated annual values,,saarland,code10,1.0
2012,hectre per day,calculated annual values,,saarland,code10,1.0
2013,hectre per day,calculated annual values,,saarland,code10,1.0
2014,hectre per day,calculated annual values,,saarland,code10,0.0
2015,hectre per day,calculated annual values,,saarland,code10,0.0
2016,hectre per day,calculated annual values,,saarland,code10,1.0
2017,hectre per day,calculated annual values,,saarland,code10,1.0
2018,hectre per day,calculated annual values,,saarland,code10,1.0
2019,hectre per day,calculated annual values,,saarland,code10,1.0
2020,hectre per day,calculated annual values,,saarland,code10,0.0
2021,hectre per day,calculated annual values,,saarland,code10,0.0
2022,hectre per day,calculated annual values,,saarland,code10,1.0
1996,hectre per day,calculated annual values,,saxony,code14,9.0
2000,hectre per day,calculated annual values,,saxony,code14,8.0
2004,hectre per day,calculated annual values,,saxony,code14,5.0
2005,hectre per day,calculated annual values,,saxony,code14,4.0
2006,hectre per day,calculated annual values,,saxony,code14,4.0
2007,hectre per day,calculated annual values,,saxony,code14,5.0
2008,hectre per day,calculated annual values,,saxony,code14,6.0
2009,hectre per day,calculated annual values,,saxony,code14,8.0
2010,hectre per day,calculated annual values,,saxony,code14,9.0
2011,hectre per day,calculated annual values,,saxony,code14,8.0
2012,hectre per day,calculated annual values,,saxony,code14,7.0
2013,hectre per day,calculated annual values,,saxony,code14,5.0
2020,hectre per day,calculated annual values,,saxony,code14,5.0
2021,hectre per day,calculated annual values,,saxony,code14,5.0
2022,hectre per day,calculated annual values,,saxony,code14,5.0
1996,hectre per day,calculated annual values,,saxony-anhalt,code15,9.0
2000,hectre per day,calculated annual values,,saxony-anhalt,code15,10.0
2004,hectre per day,calculated annual values,,saxony-anhalt,code15,13.0
2005,hectre per day,calculated annual values,,saxony-anhalt,code15,16.0
2006,hectre per day,calculated annual values,,saxony-anhalt,code15,18.0
2007,hectre per day,calculated annual values,,saxony-anhalt,code15,16.0
2008,hectre per day,calculated annual values,,saxony-anhalt,code15,10.0
2009,hectre per day,calculated annual values,,saxony-anhalt,code15,4.0
2010,hectre per day,calculated annual values,,saxony-anhalt,code15,1.0
2011,hectre per day,calculated annual values,,saxony-anhalt,code15,0.0
2012,hectre per day,calculated annual values,,saxony-anhalt,code15,-1.0
2013,hectre per day,calculated annual values,,saxony-anhalt,code15,-1.0
2014,hectre per day,calculated annual values,,saxony-anhalt,code15,0.0
2015,hectre per day,calculated annual values,,saxony-anhalt,code15,1.0
2016,hectre per day,calculated annual values,,saxony-anhalt,code15,1.0
2017,hectre per day,calculated annual values,,saxony-anhalt,code15,1.0
2018,hectre per day,calculated annual values,,saxony-anhalt,code15,1.0
2019,hectre per day,calculated annual values,,saxony-anhalt,code15,1.0
2020,hectre per day,calculated annual values,,saxony-anhalt,code15,1.0
2021,hectre per day,calculated annual values,,saxony-anhalt,code15,1.0
2022,hectre per day,calculated annual values,,saxony-anhalt,code15,1.0
1996,hectre per day,calculated annual values,,schleswig-holstein,code01,3.0
2000,hectre per day,calculated annual values,,schleswig-holstein,code01,4.0
2004,hectre per day,calculated annual values,,schleswig-holstein,code01,8.0
2008,hectre per day,calculated annual values,,schleswig-holstein,code01,5.0
2009,hectre per day,calculated annual values,,schleswig-holstein,code01,5.0
2010,hectre per day,calculated annual values,,schleswig-holstein,code01,4.0
2011,hectre per day,calculated annual values,,schleswig-holstein,code01,4.0
2012,hectre per day,calculated annual values,,schleswig-holstein,code01,3.0
2013,hectre per day,calculated annual values,,schleswig-holstein,code01,3.0
2014,hectre per day,calculated annual values,,schleswig-holstein,code01,3.0
2015,hectre per day,calculated annual values,,schleswig-holstein,code01,3.0
2016,hectre per day,calculated annual values,,schleswig-holstein,code01,2.0
2017,hectre per day,calculated annual values,,schleswig-holstein,code01,3.0
2018,hectre per day,calculated annual values,,schleswig-holstein,code01,3.0
2019,hectre per day,calculated annual values,,schleswig-holstein,code01,2.0
2020,hectre per day,calculated annual values,,schleswig-holstein,code01,4.0
2021,hectre per day,calculated annual values,,schleswig-holstein,code01,4.0
2022,hectre per day,calculated annual values,,schleswig-holstein,code01,4.0
1996,hectre per day,calculated annual values,,thuringia,code16,6.0
2000,hectre per day,calculated annual values,,thuringia,code16,4.0
2004,hectre per day,calculated annual values,,thuringia,code16,2.0
2005,hectre per day,calculated annual values,,thuringia,code16,2.0
2006,hectre per day,calculated annual values,,thuringia,code16,1.0
2007,hectre per day,calculated annual values,,thuringia,code16,2.0
2008,hectre per day,calculated annual values,,thuringia,code16,2.0
2009,hectre per day,calculated annual values,,thuringia,code16,2.0
2010,hectre per day,calculated annual values,,thuringia,code16,3.0
2011,hectre per day,calculated annual values,,thuringia,code16,4.0
2012,hectre per day,calculated annual values,,thuringia,code16,4.0
2013,hectre per day,calculated annual values,,thuringia,code16,4.0
2014,hectre per day,calculated annual values,,thuringia,code16,5.0
2015,hectre per day,calculated annual values,,thuringia,code16,5.0
2016,hectre per day,calculated annual values,,thuringia,code16,6.0
2022,hectre per day,calculated annual values,,thuringia,code16,1.0
