Year,Units,Series,Time series,Kategorie der letzten Verwendung,Rohstoffkategorie,Value
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Exporte,,1517.0
2010,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,1256.0
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,1369.0
2012,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,1290.0
2013,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,1289.0
2014,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,1302.0
2015,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,1250.0
2016,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,1286.0
2017,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,1328.0
2018,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,1342.0
2019,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,1327.0
2020,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,1268.0
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,Konsum und Investitionen,,1277.0
2010,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Fossile Energieträger,697.0
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Fossile Energieträger,719.0
2012,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Fossile Energieträger,704.0
2013,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Fossile Energieträger,718.0
2014,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Fossile Energieträger,713.0
2015,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Fossile Energieträger,727.0
2016,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Fossile Energieträger,722.0
2017,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Fossile Energieträger,737.0
2018,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Fossile Energieträger,760.0
2019,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Fossile Energieträger,712.0
2020,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Fossile Energieträger,650.0
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Fossile Energieträger,699.0
2010,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Erze,837.0
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Erze,914.0
2012,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Erze,879.0
2013,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Erze,892.0
2014,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Erze,914.0
2015,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Erze,900.0
2016,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Erze,995.0
2017,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Erze,939.0
2018,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Erze,990.0
2019,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Erze,994.0
2020,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Erze,936.0
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Erze,930.0
2010,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,"Steine, Erden und Industrieminerale",709.0
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,"Steine, Erden und Industrieminerale",786.0
2012,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,"Steine, Erden und Industrieminerale",724.0
2013,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,"Steine, Erden und Industrieminerale",732.0
2014,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,"Steine, Erden und Industrieminerale",726.0
2015,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,"Steine, Erden und Industrieminerale",716.0
2016,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,"Steine, Erden und Industrieminerale",737.0
2017,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,"Steine, Erden und Industrieminerale",768.0
2018,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,"Steine, Erden und Industrieminerale",781.0
2019,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,"Steine, Erden und Industrieminerale",765.0
2020,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,"Steine, Erden und Industrieminerale",756.0
2021,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,"Steine, Erden und Industrieminerale",757.0
2010,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Biotische Rohstoffe,370.0
2011,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Biotische Rohstoffe,383.0
2012,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Biotische Rohstoffe,390.0
2013,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Biotische Rohstoffe,384.0
2014,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Biotische Rohstoffe,421.0
2015,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Biotische Rohstoffe,394.0
2016,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Biotische Rohstoffe,390.0
2017,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Biotische Rohstoffe,408.0
2018,Millionen Tonnen,Zusätzliche Informationen: Rohstoffeinsatz,,,Biotische Rohstoffe,367.0
